# gal zone depth edge out
3 1036 0 1 0
7 1036 0 1 0
10 433 3 0 0
12 1036 0 1 0
13 1036 0 1 0
15 1036 0 1 0
22 1036 0 1 0
29 1036 0 1 0
31 1036 0 1 0
39 1036 0 1 0
55 1036 0 1 0
56 1036 0 1 0
58 566 6 0 0
70 861 1 0 0
71 283 2 0 0
72 861 1 0 0
73 283 1 0 0
74 1036 0 1 0
77 1036 0 1 0
84 1036 0 1 0
86 876 1 0 0
95 1036 0 1 0
96 1036 0 1 0
97 1036 0 1 0
100 1036 0 1 0
103 1036 0 1 0
109 876 1 0 0
110 1036 0 1 0
117 1036 0 1 0
127 861 1 0 0
129 861 2 0 0
130 861 1 0 0
133 876 2 0 0
134 861 1 0 0
139 1036 0 1 0
143 861 2 0 0
150 876 1 0 0
158 1036 0 1 0
160 433 1 0 0
161 325 2 0 0
166 325 1 0 0
171 1036 0 1 0
172 433 3 0 0
173 566 5 0 0
174 433 2 0 0
176 283 2 0 0
181 1036 0 1 0
189 391 1 0 0
218 1036 0 1 0
237 1036 0 1 0
242 1036 0 1 0
246 1036 0 1 0
250 433 3 0 0
252 283 2 0 0
260 861 2 0 0
262 283 2 0 0
263 433 4 0 0
265 861 1 0 0
266 433 4 0 0
268 433 3 0 0
270 404 5 0 0
271 433 2 0 0
275 566 6 0 0
277 876 0 0 0
278 566 5 0 0
279 876 2 0 0
280 433 2 0 0
281 433 4 0 0
285 1036 0 1 0
287 1036 0 1 0
289 1036 0 1 0
291 350 4 0 0
292 350 4 0 0
293 350 4 0 0
294 350 3 0 0
295 1036 0 1 0
296 1036 0 1 0
297 350 2 0 0
298 350 4 0 0
301 861 3 0 0
302 566 2 0 0
304 350 2 0 0
307 1036 0 1 0
308 1036 0 1 0
311 350 5 0 0
312 1036 0 1 0
315 861 3 0 0
318 350 3 0 0
319 876 3 0 0
322 350 2 0 0
324 1036 0 1 0
326 1036 0 1 0
328 1036 0 1 0
331 1036 0 1 0
333 289 1 0 0
334 1036 0 1 0
335 1036 0 1 0
338 350 3 0 0
341 350 2 0 0
343 350 3 0 0
344 350 2 0 0
347 350 3 0 0
351 1036 0 1 0
357 861 3 0 0
361 876 2 0 0
362 350 2 0 0
364 289 0 0 0
368 289 1 0 0
369 1036 0 1 0
370 350 2 0 0
372 1036 0 1 0
379 433 3 0 0
383 861 3 0 0
384 433 3 0 0
385 1036 0 1 0
388 1036 0 1 0
390 1036 0 1 0
395 1036 0 1 0
396 433 3 0 0
399 1036 0 1 0
407 1036 0 1 0
409 1036 0 1 0
410 1036 0 1 0
412 1036 0 1 0
413 1036 0 1 0
414 1036 0 1 0
415 1036 0 1 0
416 861 3 0 0
419 861 3 0 0
420 1036 0 1 0
421 1036 0 1 0
422 1036 0 1 0
423 1036 0 1 0
431 433 4 0 0
438 876 2 0 0
445 1036 0 1 0
446 1036 0 1 0
447 876 1 0 0
449 876 2 0 0
452 433 2 0 0
453 876 2 0 0
457 404 5 0 0
462 566 4 0 0
464 876 1 0 0
471 861 3 0 0
472 350 3 0 0
473 861 3 0 0
475 861 2 0 0
476 198 5 0 0
486 283 3 0 0
487 404 5 0 0
490 861 3 0 0
493 350 3 0 0
494 1036 0 1 0
496 861 2 0 0
497 861 3 0 0
499 433 3 0 0
500 350 3 0 0
502 876 1 0 0
503 1036 0 1 0
504 876 2 0 0
505 198 4 0 0
506 1036 0 1 0
507 566 3 0 0
508 557 1 0 0
509 876 1 0 0
511 433 2 0 0
512 198 5 0 0
515 557 2 0 0
516 557 2 0 0
518 861 3 0 0
522 1036 0 1 0
524 433 2 0 0
526 404 5 0 0
527 350 2 0 0
529 876 2 0 0
530 876 1 0 0
534 876 1 0 0
535 876 3 0 0
536 876 3 0 0
538 198 6 0 0
539 1036 0 1 0
541 876 1 0 0
548 350 2 0 0
549 350 3 0 0
550 404 5 0 0
553 350 3 0 0
554 566 2 0 0
556 876 2 0 0
560 350 2 0 0
561 566 4 0 0
565 1036 0 1 0
569 350 3 0 0
570 198 6 0 0
571 1036 0 1 0
572 350 6 0 0
573 1036 0 1 0
574 1036 0 1 0
575 350 3 0 0
576 350 2 0 0
583 1036 0 1 0
585 1036 0 1 0
587 1036 0 1 0
588 1036 0 1 0
590 1036 0 1 0
591 350 5 0 0
592 350 2 0 0
593 1036 0 1 0
596 876 3 0 0
599 350 5 0 0
601 350 3 0 0
602 350 4 0 0
605 1036 0 1 0
606 1036 0 1 0
607 1036 0 1 0
608 1036 0 1 0
611 1036 0 1 0
612 1036 0 1 0
614 1036 0 1 0
616 350 4 0 0
617 350 2 0 0
618 1036 0 1 0
620 350 4 0 0
621 1036 0 1 0
622 350 3 0 0
624 350 2 0 0
625 350 5 0 0
626 566 2 0 0
627 198 5 0 0
628 716 1 0 0
632 350 3 0 0
633 1036 0 1 0
634 1036 0 1 0
636 1036 0 1 0
637 350 3 0 0
641 1036 0 1 0
642 1036 0 1 0
644 289 1 0 0
650 1036 0 1 0
654 1036 0 1 0
655 1036 0 1 0
657 557 3 0 0
661 1036 0 1 0
662 1036 0 1 0
663 1036 0 1 0
664 1036 0 1 0
665 1036 0 1 0
669 350 2 0 0
672 350 4 0 0
673 350 3 0 0
674 350 3 0 0
680 1036 0 1 0
681 350 4 0 0
682 1036 0 1 0
684 1036 0 1 0
685 350 4 0 0
686 350 4 0 0
696 350 3 0 0
697 350 4 0 0
698 350 3 0 0
700 350 3 0 0
704 350 4 0 0
705 566 2 0 0
708 1036 0 1 0
710 1036 0 1 0
711 1036 0 1 0
712 861 3 0 0
713 566 3 0 0
714 1036 0 1 0
716 433 5 0 0
717 1036 0 1 0
719 350 2 0 0
720 350 3 0 0
721 350 2 0 0
722 1036 0 1 0
723 350 2 0 0
725 566 4 0 0
729 404 5 0 0
732 198 6 0 0
733 350 2 0 0
734 350 2 0 0
735 433 4 0 0
736 198 5 0 0
738 198 5 0 0
739 433 3 0 0
743 198 5 0 0
744 566 1 0 0
745 861 3 0 0
746 566 2 0 0
747 289 2 0 0
748 566 5 0 0
755 876 2 0 0
756 566 3 0 0
757 289 1 0 0
762 566 4 0 0
766 566 2 0 0
770 566 2 0 0
771 350 2 0 0
772 433 3 0 0
773 350 2 0 0
774 350 2 0 0
781 350 2 0 0
785 566 4 0 0
787 433 3 0 0
790 350 2 0 0
791 566 3 0 0
800 350 2 0 0
801 50 3 0 0
805 566 2 0 0
806 143 2 0 0
808 198 5 0 0
809 350 4 0 0
813 350 4 0 0
815 433 3 0 0
817 1036 0 1 0
822 566 2 0 0
824 1036 0 1 0
826 198 5 0 0
827 350 3 0 0
832 143 2 0 0
834 350 1 0 0
836 350 1 0 0
837 350 2 0 0
838 143 2 0 0
839 143 2 0 0
840 350 1 0 0
842 716 0 0 0
843 350 4 0 0
844 350 4 0 0
845 350 4 0 0
849 876 3 0 0
854 687 3 0 0
862 50 4 0 0
865 350 4 0 0
866 598 2 0 0
868 1036 0 1 0
869 1036 0 1 0
872 1036 0 1 0
875 598 3 0 0
876 1036 0 1 0
878 687 8 0 0
879 557 2 0 0
880 1036 0 1 0
881 687 8 0 0
882 1036 0 1 0
883 566 2 0 0
885 687 6 0 0
886 687 7 0 0
889 687 6 0 0
890 350 7 0 0
891 350 5 0 0
892 566 1 0 0
894 1036 0 1 0
896 350 7 0 0
898 350 5 0 0
899 1036 0 1 0
902 1036 0 1 0
903 1036 0 1 0
904 1036 0 1 0
905 1036 0 1 0
907 1036 0 1 0
908 687 6 0 0
912 1036 0 1 0
913 1036 0 1 0
915 1036 0 1 0
918 1036 0 1 0
923 350 8 0 0
926 687 8 0 0
931 350 5 0 0
933 687 8 0 0
934 350 6 0 0
935 1036 0 1 0
937 1036 0 1 0
938 566 2 0 0
942 1036 0 1 0
944 1036 0 1 0
947 687 7 0 0
948 350 5 0 0
953 350 7 0 0
954 1036 0 1 0
955 1036 0 1 0
958 876 4 0 0
959 350 5 0 0
960 566 2 0 0
962 566 2 0 0
963 198 6 0 0
965 1036 0 1 0
966 566 2 0 0
975 1036 0 1 0
976 1036 0 1 0
978 350 6 0 0
979 350 6 0 0
980 1036 0 1 0
988 1036 0 1 0
991 350 6 0 0
994 1036 0 1 0
995 1036 0 1 0
996 350 4 0 0
997 198 5 0 0
1001 687 6 0 0
1003 350 3 0 0
1006 50 4 0 0
1010 1036 0 1 0
1011 687 6 0 0
1017 350 2 0 0
1019 350 4 0 0
1020 687 7 0 0
1021 566 1 0 0
1023 350 3 0 0
1027 350 1 0 0
1034 687 3 0 0
1036 687 3 0 0
1038 350 4 0 0
1043 792 2 0 0
1047 566 2 0 0
1049 566 1 0 0
1057 687 5 0 0
1058 350 5 0 0
1059 687 3 0 0
1060 687 2 0 0
1061 687 3 0 0
1063 687 6 0 0
1064 687 3 0 0
1065 687 3 0 0
1066 350 4 0 0
1070 350 4 0 0
1071 687 6 0 0
1073 350 4 0 0
1075 687 3 0 0
1077 350 4 0 0
1078 22 6 0 0
1079 350 4 0 0
1083 1036 0 1 0
1090 1036 0 1 0
1091 1036 0 1 0
1092 350 6 0 0
1093 1036 0 1 0
1100 687 6 0 0
1106 1036 0 1 0
1111 1036 0 1 0
1112 1036 0 1 0
1113 687 5 0 0
1114 22 4 0 0
1116 1036 0 1 0
1118 687 3 0 0
1122 350 4 0 0
1123 687 5 0 0
1124 350 3 0 0
1126 1036 0 1 0
1127 1036 0 1 0
1129 1036 0 1 0
1137 1036 0 1 0
1138 1036 0 1 0
1139 1036 0 1 0
1140 1036 0 1 0
1141 566 1 0 0
1143 687 5 0 0
1144 1036 0 1 0
1145 598 3 0 0
1149 1036 0 1 0
1156 1036 0 1 0
1157 598 4 0 0
1158 598 3 0 0
1160 566 2 0 0
1161 1036 0 1 0
1162 1036 0 1 0
1163 350 6 0 0
1165 1036 0 1 0
1169 1036 0 1 0
1171 1036 0 1 0
1172 1036 0 1 0
1174 1036 0 1 0
1176 350 7 0 0
1178 1036 0 1 0
1183 1036 0 1 0
1184 687 6 0 0
1186 557 3 0 0
1188 687 7 0 0
1192 687 3 0 0
1194 687 3 0 0
1195 687 6 0 0
1196 350 5 0 0
1198 687 3 0 0
1200 350 5 0 0
1201 350 5 0 0
1202 350 6 0 0
1203 687 5 0 0
1204 687 6 0 0
1205 22 6 0 0
1206 22 6 0 0
1210 687 5 0 0
1211 687 5 0 0
1213 566 1 0 0
1214 350 6 0 0
1216 350 7 0 0
1217 22 6 0 0
1219 22 6 0 0
1221 22 5 0 0
1223 22 5 0 0
1225 350 5 0 0
1226 1036 0 1 0
1227 687 5 0 0
1228 687 4 0 0
1229 350 4 0 0
1230 350 6 0 0
1231 350 4 0 0
1232 350 2 0 0
1234 687 2 0 0
1236 444 2 0 0
1238 687 2 0 0
1243 598 3 0 0
1244 716 1 0 0
1245 350 5 0 0
1247 22 3 0 0
1248 350 5 0 0
1249 687 4 0 0
1250 350 2 0 0
1253 716 1 0 0
1255 687 3 0 0
1257 566 2 0 0
1261 566 1 0 0
1262 687 4 0 0
1263 22 4 0 0
1264 716 2 0 0
1267 687 3 0 0
1271 350 2 0 0
1272 143 2 0 0
1273 350 2 0 0
1275 1036 0 1 0
1276 1036 0 1 0
1278 1036 0 1 0
1281 1036 0 1 0
1283 1036 0 1 0
1284 1036 0 1 0
1286 1036 0 1 0
1287 1036 0 1 0
1288 22 5 0 0
1289 1036 0 1 0
1290 566 3 0 0
1292 143 3 0 0
1293 1036 0 1 0
1294 598 2 0 0
1295 1036 0 1 0
1296 1036 0 1 0
1297 22 7 0 0
1302 1036 0 1 0
1303 1036 0 1 0
1305 1036 0 1 0
1308 566 4 0 0
1309 22 5 0 0
1311 1036 0 1 0
1315 1036 0 1 0
1317 22 4 0 0
1318 22 5 0 0
1322 22 4 0 0
1323 22 5 0 0
1326 22 5 0 0
1327 1036 0 1 0
1331 1036 0 1 0
1333 1036 0 1 0
1334 1036 0 1 0
1335 1036 0 1 0
1341 1036 0 1 0
1342 1036 0 1 0
1343 22 4 0 0
1346 1036 0 1 0
1347 1036 0 1 0
1350 1036 0 1 0
1353 566 2 0 0
1357 716 5 0 0
1367 22 5 0 0
1368 1036 0 1 0
1370 22 4 0 0
1371 1036 0 1 0
1375 716 5 0 0
1378 1036 0 1 0
1379 1036 0 1 0
1383 1036 0 1 0
1384 566 3 0 0
1385 687 4 0 0
1387 830 3 0 0
1388 566 2 0 0
1390 687 5 0 0
1393 22 5 0 0
1397 1036 0 1 0
1400 1036 0 1 0
1402 1036 0 1 0
1404 350 3 0 0
1405 1036 0 1 0
1406 830 3 0 0
1407 1036 0 1 0
1409 1036 0 1 0
1411 830 4 0 0
1412 350 6 0 0
1413 830 3 0 0
1415 830 3 0 0
1418 22 5 0 0
1425 350 3 0 0
1431 1036 0 1 0
1435 350 2 0 0
1438 22 5 0 0
1441 598 3 0 0
1444 716 2 0 0
1445 687 2 0 0
1446 22 4 0 0
1448 687 5 0 0
1450 1036 0 1 0
1456 578 0 0 0
1458 350 5 0 0
1461 22 4 0 0
1463 350 5 0 0
1464 22 5 0 0
1465 1036 0 1 0
1470 1036 0 1 0
1471 22 4 0 0
1473 598 3 0 0
1480 1036 0 1 0
1482 716 3 0 0
1483 557 1 0 0
1484 22 6 0 0
1486 687 3 0 0
1489 22 4 0 0
1493 830 2 0 0
1495 830 2 0 0
1497 566 2 0 0
1499 716 4 0 0
1503 566 2 0 0
1504 22 4 0 0
1506 687 3 0 0
1510 557 1 0 0
1512 566 1 0 0
1514 22 4 0 0
1515 1036 0 1 0
1518 1036 0 1 0
1519 937 1 0 0
1520 937 0 0 0
1527 716 3 0 0
1528 22 5 0 0
1529 22 4 0 0
1531 566 3 0 0
1532 1036 0 1 0
1535 22 5 0 0
1536 696 2 0 0
1538 696 2 0 0
1539 937 2 0 0
1541 1036 0 1 0
1542 1036 0 1 0
1543 1036 0 1 0
1544 1036 0 1 0
1546 1036 0 1 0
1548 1036 0 1 0
1551 1036 0 1 0
1554 1036 0 1 0
1555 1036 0 1 0
1558 22 4 0 0
1561 696 1 0 0
1563 1036 0 1 0
1564 1036 0 1 0
1565 1036 0 1 0
1566 1036 0 1 0
1570 851 1 0 0
1571 851 3 0 0
1572 851 3 0 0
1573 1036 0 1 0
1574 851 3 0 0
1577 1036 0 1 0
1580 696 1 0 0
1582 851 3 0 0
1583 1036 0 1 0
1587 1036 0 1 0
1588 1036 0 1 0
1589 1036 0 1 0
1590 22 4 0 0
1591 1036 0 1 0
1593 1036 0 1 0
1596 1036 0 1 0
1597 22 5 0 0
1598 851 4 0 0
1600 1036 0 1 0
1601 1036 0 1 0
1602 22 6 0 0
1604 22 6 0 0
1605 1036 0 1 0
1606 696 2 0 0
1608 22 6 0 0
1609 22 5 0 0
1610 22 6 0 0
1611 22 6 0 0
1613 1036 0 1 0
1617 1036 0 1 0
1619 716 5 0 0
1620 851 2 0 0
1622 1036 0 1 0
1623 22 4 0 0
1626 1036 0 1 0
1627 1036 0 1 0
1628 1036 0 1 0
1629 1036 0 1 0
1632 1036 0 1 0
1635 1036 0 1 0
1636 937 2 0 0
1637 937 1 0 0
1639 22 4 0 0
1640 1036 0 1 0
1644 1036 0 1 0
1646 1036 0 1 0
1648 1036 0 1 0
1649 22 5 0 0
1653 851 1 0 0
1654 1036 0 1 0
1655 1036 0 1 0
1656 1036 0 1 0
1657 1036 0 1 0
1660 566 2 0 0
1661 566 2 0 0
1662 22 6 0 0
1663 1036 0 1 0
1666 716 5 0 0
1667 22 5 0 0
1670 576 3 0 0
1671 576 2 0 0
1672 22 4 0 0
1678 1036 0 1 0
1679 22 5 0 0
1682 598 2 0 0
1684 687 3 0 0
1687 598 2 0 0
1688 22 5 0 0
1689 716 4 0 0
1690 557 2 0 0
1692 937 1 0 0
1693 937 1 0 0
1695 566 2 0 0
1699 851 1 0 0
1700 851 1 0 0
1702 696 2 0 0
1704 830 1 0 0
1705 830 2 0 0
1708 1036 0 1 0
1710 851 2 0 0
1711 716 5 0 0
1713 444 3 0 0
1714 851 1 0 0
1717 851 1 0 0
1720 851 1 0 0
1721 851 1 0 0
1724 696 4 0 0
1725 851 1 0 0
1727 22 4 0 0
1730 22 4 0 0
1731 22 4 0 0
1733 851 1 0 0
1734 22 4 0 0
1737 716 5 0 0
1738 22 4 0 0
1739 716 5 0 0
1741 22 5 0 0
1742 22 4 0 0
1745 851 2 0 0
1747 716 5 0 0
1750 851 1 0 0
1752 22 4 0 0
1754 576 5 0 0
1755 851 1 0 0
1756 576 6 0 0
1759 22 3 0 0
1762 851 2 0 0
1763 696 1 0 0
1764 851 3 0 0
1766 22 4 0 0
1767 576 6 0 0
1768 696 3 0 0
1769 696 3 0 0
1770 22 4 0 0
1771 22 4 0 0
1777 851 2 0 0
1778 851 1 0 0
1779 851 4 0 0
1780 851 0 0 0
1781 616 1 0 0
1782 851 5 0 0
1784 576 5 0 0
1785 576 3 0 0
1789 444 2 0 0
1792 22 3 0 0
1793 22 4 0 0
1794 696 1 0 0
1795 1036 0 1 0
1799 1036 0 1 0
1802 1036 0 1 0
1803 1036 0 1 0
1805 851 5 0 0
1808 851 4 0 0
1809 1036 0 1 0
1817 143 3 0 0
1818 143 3 0 0
1819 1036 0 1 0
1822 1036 0 1 0
1824 143 3 0 0
1826 143 3 0 0
1833 1036 0 1 0
1834 1036 0 1 0
1837 1036 0 1 0
1839 1036 0 1 0
1842 143 2 0 0
1843 22 4 0 0
1854 1036 0 1 0
1860 1036 0 1 0
1865 1036 0 1 0
1867 22 4 0 0
1870 1036 0 1 0
1871 696 1 0 0
1875 22 4 0 0
1876 143 2 0 0
1881 1036 0 1 0
1883 1036 0 1 0
1885 1036 0 1 0
1887 1036 0 1 0
1888 1036 0 1 0
1893 696 2 0 0
1895 22 4 0 0
1896 22 4 0 0
1897 22 3 0 0
1898 1036 0 1 0
1899 22 4 0 0
1900 851 2 0 0
1903 1036 0 1 0
1904 1036 0 1 0
1906 1036 0 1 0
1907 1036 0 1 0
1909 1036 0 1 0
1916 1036 0 1 0
1918 22 4 0 0
1919 22 4 0 0
1920 1036 0 1 0
1921 1036 0 1 0
1922 1036 0 1 0
1924 1036 0 1 0
1926 22 4 0 0
1929 1036 0 1 0
1931 350 2 0 0
1932 350 2 0 0
1933 576 3 0 0
1935 851 4 0 0
1937 851 2 0 0
1939 22 3 0 0
1945 851 3 0 0
1951 696 3 0 0
1954 696 2 0 0
1955 576 4 0 0
1956 851 1 0 0
1959 22 3 0 0
1960 22 3 0 0
1961 696 0 0 0
1966 22 4 0 0
1967 22 3 0 0
1968 22 3 0 0
1969 851 1 0 0
1970 576 3 0 0
1971 696 1 0 0
1972 851 2 0 0
1973 22 3 0 0
1976 616 2 0 0
1978 1036 0 1 0
1983 851 3 0 0
1984 851 3 0 0
1986 851 3 0 0
1987 696 2 0 0
1991 851 2 0 0
1994 830 2 0 0
1996 1036 0 1 0
1998 696 2 0 0
2004 851 2 0 0
2005 851 3 0 0
2008 830 1 0 0
2009 22 4 0 0
2012 22 5 0 0
2017 1036 0 1 0
2018 815 2 0 0
2022 616 3 0 0
2027 576 3 0 0
2029 1036 0 1 0
2032 22 5 0 0
2034 1036 0 1 0
2035 652 3 0 0
2036 696 1 0 0
2039 830 2 0 0
2041 616 2 0 0
2042 851 3 0 0
2048 143 2 0 0
2050 576 2 0 0
2051 1036 0 1 0
2052 815 2 0 0
2054 1036 0 1 0
2056 22 4 0 0
2057 22 5 0 0
2058 1036 0 1 0
2059 22 5 0 0
2061 22 4 0 0
2062 143 3 0 0
2064 22 4 0 0
2065 851 3 0 0
2067 1036 0 1 0
2070 1036 0 1 0
2076 1036 0 1 0
2081 1036 0 1 0
2084 1036 0 1 0
2085 1036 0 1 0
2086 1036 0 1 0
2090 616 1 0 0
2095 1036 0 1 0
2101 1036 0 1 0
2102 1036 0 1 0
2105 616 1 0 0
2106 222 4 0 0
2112 1036 0 1 0
2114 1036 0 1 0
2115 1036 0 1 0
2116 370 7 0 0
2118 1036 0 1 0
2128 22 5 0 0
2129 370 7 0 0
2134 1036 0 1 0
2135 1036 0 1 0
2136 1036 0 1 0
2137 815 2 0 0
2139 370 8 0 0
2142 1036 0 1 0
2148 410 5 0 0
2151 410 4 0 0
2153 907 1 0 0
2154 607 4 0 0
2155 1036 0 1 0
2156 410 5 0 0
2159 1036 0 1 0
2163 22 3 0 0
2168 1036 0 1 0
2172 22 6 0 0
2173 370 8 0 0
2176 370 8 0 0
2177 1036 0 1 0
2180 370 8 0 0
2181 1036 0 1 0
2184 1036 0 1 0
2185 222 5 0 0
2186 410 5 0 0
2189 22 4 0 0
2190 1036 0 1 0
2192 1036 0 1 0
2193 1036 0 1 0
2194 1036 0 1 0
2198 370 9 0 0
2200 1036 0 1 0
2201 1036 0 1 0
2203 1036 0 1 0
2204 1036 0 1 0
2205 1036 0 1 0
2207 1036 0 1 0
2210 1036 0 1 0
2211 1036 0 1 0
2212 1036 0 1 0
2213 1036 0 1 0
2214 370 8 0 0
2215 1036 0 1 0
2216 1036 0 1 0
2217 1036 0 1 0
2219 1036 0 1 0
2220 851 4 0 0
2221 1036 0 1 0
2224 851 3 0 0
2226 22 4 0 0
2227 370 8 0 0
2231 370 8 0 0
2233 370 9 0 0
2235 1036 0 1 0
2236 1036 0 1 0
2242 851 4 0 0
2243 851 4 0 0
