# zone void0 void1
0 -1 -1
1 -1 -1
2 -1 -1
3 96 96
4 -1 -1
5 -1 -1
6 -1 -1
7 -1 -1
8 -1 -1
9 -1 -1
10 -1 -1
11 -1 -1
12 0 0
13 -1 -1
14 55 55
15 -1 -1
16 211 211
17 -1 -1
18 9 9
19 88 88
20 173 173
21 3 96
22 -1 -1
23 283 283
24 103 103
25 -1 -1
26 17 96
27 169 169
28 20 20
29 352 352
30 -1 -1
31 2 2
32 259 259
33 -1 -1
34 4 88
35 7 283
36 59 59
37 -1 -1
38 188 188
39 1 1
40 -1 -1
41 158 158
42 88 88
43 -1 -1
44 19 19
45 -1 -1
46 13 13
47 -1 -1
48 -1 -1
49 38 38
50 10 211
51 16 16
52 95 95
53 6 173
54 23 23
55 21 88
56 22 22
57 -1 -1
58 87 87
59 131 131
60 41 41
61 33 169
62 5 5
63 88 88
64 43 95
65 125 125
66 144 144
67 39 39
68 26 38
69 119 144
70 28 88
71 46 46
72 205 211
73 113 113
74 111 111
75 18 88
76 -1 -1
77 27 27
78 338 338
79 141 141
80 259 259
81 124 124
82 36 36
83 200 200
84 330 330
85 -1 -1
86 33 169
87 -1 -1
88 66 66
89 8 173
90 -1 -1
91 102 102
92 256 259
93 342 342
94 -1 -1
95 154 154
96 -1 -1
97 -1 -1
98 224 224
99 79 79
100 228 228
101 -1 -1
102 70 352
103 78 78
104 82 82
105 50 173
106 51 51
107 90 352
108 42 42
109 25 25
110 137 144
111 -1 -1
112 -1 -1
113 -1 -1
114 11 20
115 69 95
116 200 200
117 31 42
118 105 105
119 177 177
120 213 213
121 30 30
122 97 97
123 12 228
124 15 259
125 -1 -1
126 216 216
127 284 284
128 -1 -1
129 14 96
130 -1 -1
131 227 227
132 -1 -1
133 182 182
134 -1 -1
135 61 103
136 330 330
137 343 343
138 62 352
139 190 190
140 -1 -1
141 64 64
142 378 378
143 115 115
144 118 118
145 215 215
146 482 482
147 267 267
148 174 174
149 -1 -1
150 32 32
151 -1 -1
152 24 24
153 204 204
154 125 125
155 58 259
156 198 198
157 -1 -1
158 72 95
159 -1 -1
160 236 330
161 228 228
162 -1 -1
163 101 118
164 -1 -1
165 -1 -1
166 341 341
167 183 183
168 -1 -1
169 -1 -1
170 297 297
171 83 83
172 -1 -1
173 81 81
174 34 338
175 29 41
176 93 93
177 -1 -1
178 106 106
179 54 352
180 37 37
181 160 160
182 238 238
183 85 85
184 52 52
185 80 80
186 249 249
187 -1 -1
188 44 173
189 276 276
190 103 103
191 59 59
192 35 125
193 276 276
194 -1 -1
195 166 166
196 -1 -1
197 -1 -1
198 245 245
199 40 96
200 292 292
201 47 47
202 -1 -1
203 74 96
204 60 88
205 143 143
206 63 63
207 225 225
208 244 244
209 89 95
210 207 207
211 -1 -1
212 104 104
213 -1 -1
214 152 152
215 -1 -1
216 99 99
217 132 132
218 57 88
219 445 445
220 385 385
221 -1 -1
222 128 330
223 313 313
224 -1 -1
225 48 352
226 45 79
227 49 125
228 -1 -1
229 -1 -1
230 245 245
231 309 309
232 121 121
233 67 67
234 84 84
235 231 231
236 172 172
237 149 188
238 273 273
239 151 151
240 328 328
241 56 88
242 126 198
243 248 248
244 414 414
245 107 107
246 348 348
247 71 341
248 53 79
249 -1 -1
250 167 167
251 140 140
252 388 388
253 -1 -1
254 283 283
255 192 192
256 65 125
257 -1 -1
258 417 417
259 401 401
260 164 164
261 330 330
262 251 251
263 136 136
264 75 75
265 -1 -1
266 214 214
267 381 381
268 96 96
269 370 370
270 -1 -1
271 123 123
272 -1 -1
273 -1 -1
274 184 381
275 -1 -1
276 -1 -1
277 91 91
278 76 97
279 -1 -1
280 68 68
281 73 118
282 77 77
283 86 313
284 306 414
285 159 159
286 92 92
287 -1 -1
288 162 162
289 338 338
290 150 150
291 145 172
292 -1 -1
293 397 397
294 171 171
295 -1 -1
296 -1 -1
297 100 100
298 322 322
299 168 168
300 -1 -1
301 205 211
302 108 167
303 395 395
304 -1 -1
305 120 120
306 109 118
307 326 326
308 -1 -1
309 165 165
310 315 315
311 250 250
312 442 442
313 117 117
314 185 238
315 156 156
316 127 283
317 -1 -1
318 268 268
319 178 228
320 98 215
321 163 163
322 129 129
323 122 122
324 220 220
325 94 338
326 142 142
327 170 170
328 -1 -1
329 -1 -1
330 439 439
331 194 194
332 155 155
333 148 174
334 324 324
335 -1 -1
336 157 157
337 191 191
338 189 189
339 181 370
340 -1 -1
341 187 187
342 221 283
343 176 176
344 370 370
345 246 292
346 -1 -1
347 -1 -1
348 138 259
349 168 168
350 116 116
351 283 283
352 135 167
353 110 110
354 114 114
355 112 112
356 -1 -1
357 -1 -1
358 294 294
359 208 208
360 -1 -1
361 -1 -1
362 229 229
363 195 195
364 287 287
365 133 133
366 283 283
367 139 139
368 175 283
369 263 263
370 146 146
371 242 242
372 389 389
373 193 193
374 295 295
375 -1 -1
376 360 360
377 130 130
378 460 460
379 180 180
380 349 349
381 134 134
382 161 161
383 362 362
384 -1 -1
385 237 237
386 147 147
387 226 226
388 304 348
389 393 393
390 153 153
391 359 359
392 333 333
393 240 315
394 274 274
395 311 311
396 -1 -1
397 197 197
398 219 219
399 262 262
400 387 387
401 334 334
402 337 337
403 -1 -1
404 290 290
405 285 285
406 324 324
407 280 280
408 298 298
409 441 441
410 281 281
411 344 344
412 -1 -1
413 369 369
414 270 270
415 303 303
416 209 251
417 463 463
418 -1 -1
419 452 452
420 -1 -1
421 233 233
422 234 234
423 179 179
424 206 206
425 186 186
426 323 323
427 320 320
428 271 297
429 309 309
430 305 305
431 -1 -1
432 199 199
433 266 266
434 196 196
435 394 394
436 260 260
437 -1 -1
438 383 383
439 202 211
440 288 288
441 336 336
442 232 232
443 212 341
444 301 301
445 -1 -1
446 282 290
447 257 257
448 310 310
449 -1 -1
450 523 523
451 519 519
452 -1 -1
453 277 277
454 286 286
455 210 210
456 265 265
457 230 230
458 -1 -1
459 396 396
460 252 252
461 -1 -1
462 -1 -1
463 -1 -1
464 361 361
465 255 255
466 411 411
467 377 377
468 318 324
469 223 223
470 -1 -1
471 372 372
472 278 278
473 201 201
474 353 353
475 217 309
476 296 296
477 203 203
478 376 376
479 -1 -1
480 408 408
481 366 366
482 -1 -1
483 253 253
484 -1 -1
485 -1 -1
486 340 340
487 235 268
488 -1 -1
489 -1 -1
490 247 247
491 331 331
492 -1 -1
493 332 332
494 -1 -1
495 218 218
496 -1 -1
497 -1 -1
498 390 390
499 404 404
500 -1 -1
501 -1 -1
502 222 222
503 254 393
504 -1 -1
505 261 261
506 272 272
507 239 239
508 341 341
509 299 299
510 269 269
511 440 440
512 -1 -1
513 241 241
514 -1 -1
515 243 297
516 -1 -1
517 495 495
518 279 279
519 300 300
520 264 284
521 406 406
522 258 258
523 -1 -1
524 -1 -1
525 291 291
526 371 371
527 339 397
528 308 308
529 317 317
530 -1 -1
531 312 312
532 345 345
533 431 431
534 -1 -1
535 407 407
536 405 405
537 314 445
538 -1 -1
539 275 275
540 355 355
541 455 455
542 -1 -1
543 -1 -1
544 365 365
545 412 412
546 -1 -1
547 -1 -1
548 422 422
549 428 428
550 -1 -1
551 -1 -1
552 449 449
553 477 477
554 289 289
555 437 437
556 358 358
557 373 373
558 435 435
559 375 375
560 444 444
561 -1 -1
562 503 503
563 -1 -1
564 451 451
565 307 307
566 421 421
567 -1 -1
568 398 398
569 -1 -1
570 321 321
571 293 293
572 506 506
573 -1 -1
574 -1 -1
575 356 356
576 -1 -1
577 -1 -1
578 -1 -1
579 302 302
580 485 485
581 350 350
582 -1 -1
583 316 316
584 -1 -1
585 -1 -1
586 -1 -1
587 368 368
588 -1 -1
589 454 454
590 430 430
591 -1 -1
592 367 367
593 -1 -1
594 462 462
595 346 346
596 351 351
597 429 429
598 354 354
599 325 325
600 400 400
601 425 425
602 -1 -1
603 374 374
604 379 379
605 347 347
606 -1 -1
607 319 330
608 -1 -1
609 386 386
610 335 335
611 -1 -1
612 329 329
613 -1 -1
614 418 418
615 436 436
616 443 443
617 -1 -1
618 327 327
619 -1 -1
620 380 380
621 -1 -1
622 364 364
623 419 419
624 -1 -1
625 420 420
626 491 491
627 384 384
628 -1 -1
629 413 413
630 424 424
631 382 382
632 475 475
633 469 469
634 409 409
635 403 403
636 423 423
637 410 410
638 426 426
639 -1 -1
640 -1 -1
641 399 399
642 -1 -1
643 427 427
644 363 363
645 512 512
646 461 461
647 357 357
648 470 470
649 -1 -1
650 391 391
651 -1 -1
652 416 416
653 457 457
654 -1 -1
655 478 478
656 -1 -1
657 490 490
658 502 502
659 432 432
660 -1 -1
661 -1 -1
662 -1 -1
663 -1 -1
664 415 415
665 448 448
666 -1 -1
667 -1 -1
668 -1 -1
669 480 480
670 -1 -1
671 392 392
672 -1 -1
673 -1 -1
674 453 453
675 494 494
676 -1 -1
677 -1 -1
678 -1 -1
679 402 402
680 -1 -1
681 -1 -1
682 465 465
683 -1 -1
684 -1 -1
685 466 466
686 -1 -1
687 496 496
688 -1 -1
689 -1 -1
690 -1 -1
691 -1 -1
692 472 472
693 433 433
694 -1 -1
695 -1 -1
696 464 464
697 -1 -1
698 518 518
699 438 438
700 -1 -1
701 -1 -1
702 -1 -1
703 -1 -1
704 456 456
705 -1 -1
706 -1 -1
707 483 483
708 468 468
709 -1 -1
710 -1 -1
711 -1 -1
712 434 434
713 488 488
714 -1 -1
715 447 447
716 -1 -1
717 -1 -1
718 -1 -1
719 -1 -1
720 -1 -1
721 446 446
722 -1 -1
723 -1 -1
724 -1 -1
725 501 501
726 510 510
727 481 481
728 -1 -1
729 473 473
730 450 450
731 -1 -1
732 -1 -1
733 -1 -1
734 -1 -1
735 -1 -1
736 467 467
737 528 528
738 474 474
739 -1 -1
740 459 459
741 499 499
742 -1 -1
743 -1 -1
744 -1 -1
745 458 458
746 -1 -1
747 -1 -1
748 493 493
749 471 471
750 -1 -1
751 -1 -1
752 -1 -1
753 -1 -1
754 -1 -1
755 484 484
756 -1 -1
757 479 479
758 -1 -1
759 487 487
760 -1 -1
761 -1 -1
762 476 476
763 -1 -1
764 -1 -1
765 -1 -1
766 517 517
767 -1 -1
768 -1 -1
769 -1 -1
770 -1 -1
771 505 505
772 -1 -1
773 524 524
774 508 508
775 -1 -1
776 -1 -1
777 -1 -1
778 489 489
779 514 514
780 -1 -1
781 -1 -1
782 500 500
783 509 509
784 486 486
785 526 526
786 -1 -1
787 492 492
788 -1 -1
789 497 497
790 -1 -1
791 -1 -1
792 498 498
793 504 504
794 513 513
795 -1 -1
796 -1 -1
797 -1 -1
798 -1 -1
799 -1 -1
800 -1 -1
801 -1 -1
802 -1 -1
803 -1 -1
804 -1 -1
805 -1 -1
806 -1 -1
807 -1 -1
808 511 511
809 516 516
810 -1 -1
811 -1 -1
812 515 515
813 520 520
814 -1 -1
815 -1 -1
816 -1 -1
817 -1 -1
818 -1 -1
819 -1 -1
820 -1 -1
821 -1 -1
822 -1 -1
823 -1 -1
824 -1 -1
825 521 521
826 -1 -1
827 507 507
828 -1 -1
829 -1 -1
830 525 525
831 -1 -1
832 -1 -1
833 -1 -1
834 -1 -1
835 -1 -1
836 -1 -1
837 -1 -1
838 -1 -1
839 -1 -1
840 -1 -1
841 -1 -1
842 -1 -1
843 -1 -1
844 -1 -1
845 -1 -1
846 529 529
847 -1 -1
848 -1 -1
849 -1 -1
850 -1 -1
851 -1 -1
852 522 522
853 -1 -1
854 -1 -1
855 -1 -1
856 -1 -1
857 -1 -1
858 -1 -1
859 -1 -1
860 -1 -1
861 527 527
862 -1 -1
863 -1 -1
864 -1 -1
865 -1 -1
866 -1 -1
867 -1 -1
868 -1 -1
869 -1 -1
870 -1 -1
871 -1 -1
872 -1 -1
873 -1 -1
874 -1 -1
875 -1 -1
876 -1 -1
877 -1 -1
878 -1 -1
879 -1 -1
880 -1 -1
881 -1 -1
882 -1 -1
883 -1 -1
884 -1 -1
885 -1 -1
886 -1 -1
887 -1 -1
888 -1 -1
889 -1 -1
890 -1 -1
891 -1 -1
892 -1 -1
893 -1 -1
894 -1 -1
895 -1 -1
896 -1 -1
897 -1 -1
898 -1 -1
899 530 530
900 -1 -1
901 -1 -1
902 -1 -1
903 -1 -1
904 -1 -1
905 -1 -1
906 -1 -1
907 -1 -1
908 -1 -1
909 -1 -1
910 -1 -1
911 -1 -1
912 -1 -1
913 -1 -1
914 -1 -1
915 -1 -1
916 -1 -1
917 -1 -1
918 -1 -1
919 -1 -1
920 -1 -1
921 -1 -1
922 -1 -1
923 -1 -1
924 -1 -1
925 -1 -1
926 -1 -1
927 -1 -1
928 -1 -1
929 -1 -1
930 -1 -1
931 -1 -1
932 -1 -1
933 -1 -1
934 -1 -1
935 -1 -1
936 -1 -1
937 -1 -1
938 -1 -1
939 -1 -1
940 -1 -1
941 -1 -1
942 -1 -1
943 -1 -1
944 -1 -1
945 -1 -1
946 -1 -1
947 -1 -1
948 -1 -1
949 -1 -1
950 -1 -1
951 -1 -1
952 -1 -1
953 -1 -1
954 -1 -1
955 -1 -1
956 -1 -1
957 -1 -1
958 -1 -1
959 -1 -1
960 -1 -1
961 -1 -1
962 -1 -1
963 -1 -1
964 -1 -1
965 -1 -1
966 -1 -1
967 -1 -1
968 -1 -1
969 -1 -1
970 -1 -1
971 -1 -1
972 -1 -1
973 -1 -1
974 -1 -1
975 -1 -1
976 -1 -1
977 -1 -1
978 -1 -1
979 -1 -1
980 -1 -1
981 -1 -1
982 -1 -1
983 -1 -1
984 -1 -1
985 -1 -1
986 -1 -1
987 -1 -1
988 -1 -1
989 -1 -1
990 -1 -1
991 -1 -1
992 -1 -1
993 -1 -1
994 -1 -1
995 -1 -1
996 -1 -1
997 -1 -1
998 -1 -1
999 -1 -1
1000 -1 -1
1001 -1 -1
1002 -1 -1
1003 -1 -1
1004 -1 -1
1005 -1 -1
1006 -1 -1
1007 -1 -1
1008 -1 -1
1009 -1 -1
1010 -1 -1
1011 -1 -1
1012 -1 -1
1013 -1 -1
1014 -1 -1
1015 -1 -1
1016 -1 -1
1017 -1 -1
1018 -1 -1
1019 -1 -1
1020 -1 -1
1021 -1 -1
1022 -1 -1
1023 -1 -1
1024 -1 -1
1025 -1 -1
1026 -1 -1
1027 -1 -1
1028 -1 -1
1029 -1 -1
1030 -1 -1
1031 -1 -1
1032 -1 -1
1033 -1 -1
1034 -1 -1
1035 -1 -1
1036 -1 -1
