# NSAID zone depth edge out
5 1035 0 1 0
10 1035 0 1 0
13 433 3 0 0
15 1035 0 1 0
16 1035 0 1 0
21 1035 0 1 0
29 1035 0 1 0
36 1035 0 1 0
38 1035 0 1 0
50 1035 0 1 0
70 1035 0 1 0
71 1035 0 1 0
73 566 6 0 0
85 858 1 0 0
86 285 2 0 0
87 858 1 0 0
88 285 1 0 0
89 1035 0 1 0
92 1035 0 1 0
99 1035 0 1 0
101 877 1 0 0
113 1035 0 1 0
115 1035 0 1 0
116 1035 0 1 0
119 1035 0 1 0
122 1035 0 1 0
128 877 1 0 0
129 1035 0 1 0
136 1035 0 1 0
151 858 1 0 0
153 858 2 0 0
154 858 1 0 0
157 877 2 0 0
158 858 1 0 0
166 1035 0 1 0
170 858 2 0 0
177 877 1 0 0
185 1035 0 1 0
187 433 1 0 0
188 324 2 0 0
193 324 1 0 0
198 1035 0 1 0
199 433 3 0 0
200 566 5 0 0
201 433 2 0 0
203 285 2 0 0
208 1035 0 1 0
216 398 1 0 0
245 1035 0 1 0
277 1035 0 1 0
282 1035 0 1 0
286 1035 0 1 0
290 433 3 0 0
292 285 2 0 0
302 858 2 0 0
304 285 2 0 0
305 433 4 0 0
307 858 1 0 0
308 433 4 0 0
310 433 3 0 0
315 406 5 0 0
316 433 2 0 0
322 566 6 0 0
324 877 0 0 0
325 566 5 0 0
333 877 3 0 0
334 433 2 0 0
336 433 4 0 0
340 1035 0 1 0
342 1035 0 1 0
346 1035 0 1 0
350 350 4 0 0
351 350 4 0 0
352 350 4 0 0
353 350 3 0 0
354 1035 0 1 0
355 1035 0 1 0
356 350 2 0 0
357 350 4 0 0
360 858 3 0 0
361 566 2 0 0
363 350 2 0 0
372 1035 0 1 0
373 1035 0 1 0
377 350 5 0 0
378 1035 0 1 0
381 858 3 0 0
384 350 3 0 0
385 877 3 0 0
388 350 2 0 0
390 1035 0 1 0
393 1035 0 1 0
397 1035 0 1 0
400 1035 0 1 0
403 290 1 0 0
404 1035 0 1 0
405 1035 0 1 0
409 350 3 0 0
412 350 2 0 0
414 350 3 0 0
415 350 2 0 0
418 350 3 0 0
429 1035 0 1 0
436 858 3 0 0
440 877 2 0 0
441 350 2 0 0
443 290 0 0 0
447 290 1 0 0
448 1035 0 1 0
449 350 2 0 0
451 1035 0 1 0
458 433 3 0 0
462 858 3 0 0
463 433 3 0 0
464 1035 0 1 0
467 1035 0 1 0
471 1035 0 1 0
477 1035 0 1 0
478 433 3 0 0
481 1035 0 1 0
491 1035 0 1 0
494 1035 0 1 0
495 1035 0 1 0
497 1035 0 1 0
498 1035 0 1 0
499 1035 0 1 0
500 1035 0 1 0
501 858 3 0 0
504 858 3 0 0
505 1035 0 1 0
506 1035 0 1 0
510 1035 0 1 0
511 1035 0 1 0
521 433 4 0 0
528 877 3 0 0
536 1035 0 1 0
538 1035 0 1 0
539 877 1 0 0
541 877 3 0 0
544 433 2 0 0
545 877 2 0 0
558 406 5 0 0
563 566 4 0 0
565 877 1 0 0
572 858 3 0 0
576 350 3 0 0
578 858 3 0 0
580 858 2 0 0
581 198 5 0 0
591 285 3 0 0
592 406 5 0 0
597 858 3 0 0
603 350 3 0 0
605 1035 0 1 0
608 858 2 0 0
611 858 3 0 0
618 433 3 0 0
619 350 3 0 0
625 877 1 0 0
626 1035 0 1 0
629 877 2 0 0
637 198 4 0 0
638 1035 0 1 0
639 566 3 0 0
640 559 1 0 0
641 877 1 0 0
643 433 2 0 0
644 198 5 0 0
647 559 2 0 0
648 559 2 0 0
650 858 3 0 0
657 1035 0 1 0
659 433 2 0 0
663 406 5 0 0
664 350 2 0 0
666 877 2 0 0
667 877 1 0 0
671 877 1 0 0
672 877 3 0 0
673 877 3 0 0
675 198 5 0 0
676 1035 0 1 0
678 877 1 0 0
690 350 2 0 0
692 350 3 0 0
694 406 5 0 0
697 350 3 0 0
698 566 2 0 0
704 877 2 0 0
711 350 2 0 0
712 566 4 0 0
716 1035 0 1 0
720 350 3 0 0
721 198 6 0 0
722 1035 0 1 0
723 350 6 0 0
725 1035 0 1 0
726 1035 0 1 0
727 350 3 0 0
728 350 2 0 0
735 1035 0 1 0
737 1035 0 1 0
739 1035 0 1 0
741 1035 0 1 0
744 1035 0 1 0
745 350 5 0 0
746 350 2 0 0
747 1035 0 1 0
750 877 3 0 0
753 350 5 0 0
755 350 3 0 0
756 350 4 0 0
759 1035 0 1 0
760 1035 0 1 0
761 1035 0 1 0
762 1035 0 1 0
765 1035 0 1 0
766 1035 0 1 0
768 1035 0 1 0
