# NSAID zone depth edge out
5 1036 0 1 0
10 1036 0 1 0
13 433 3 0 0
15 1036 0 1 0
16 1036 0 1 0
21 1036 0 1 0
29 1036 0 1 0
36 1036 0 1 0
38 1036 0 1 0
50 1036 0 1 0
70 1036 0 1 0
71 1036 0 1 0
73 566 6 0 0
85 861 1 0 0
86 283 2 0 0
87 861 1 0 0
88 283 1 0 0
89 1036 0 1 0
92 1036 0 1 0
99 1036 0 1 0
101 876 1 0 0
113 1036 0 1 0
115 1036 0 1 0
116 1036 0 1 0
119 1036 0 1 0
122 1036 0 1 0
128 876 1 0 0
129 1036 0 1 0
136 1036 0 1 0
151 861 1 0 0
153 861 2 0 0
154 861 1 0 0
157 876 2 0 0
158 861 1 0 0
166 1036 0 1 0
170 861 2 0 0
177 876 1 0 0
185 1036 0 1 0
187 433 1 0 0
188 325 2 0 0
193 325 1 0 0
198 1036 0 1 0
199 433 3 0 0
200 566 5 0 0
201 433 2 0 0
203 283 2 0 0
208 1036 0 1 0
216 391 1 0 0
245 1036 0 1 0
277 1036 0 1 0
282 1036 0 1 0
286 1036 0 1 0
290 433 3 0 0
292 283 2 0 0
302 861 2 0 0
304 283 2 0 0
305 433 4 0 0
307 861 1 0 0
308 433 4 0 0
310 433 3 0 0
315 404 5 0 0
316 433 2 0 0
322 566 6 0 0
324 876 0 0 0
325 566 5 0 0
333 876 2 0 0
334 433 2 0 0
336 433 4 0 0
340 1036 0 1 0
342 1036 0 1 0
346 1036 0 1 0
350 350 4 0 0
351 350 4 0 0
352 350 4 0 0
353 350 3 0 0
354 1036 0 1 0
355 1036 0 1 0
356 350 2 0 0
357 350 4 0 0
360 861 3 0 0
361 566 2 0 0
363 350 2 0 0
372 1036 0 1 0
373 1036 0 1 0
377 350 5 0 0
378 1036 0 1 0
381 861 3 0 0
384 350 3 0 0
385 876 3 0 0
388 350 2 0 0
390 1036 0 1 0
393 1036 0 1 0
397 1036 0 1 0
400 1036 0 1 0
403 289 1 0 0
404 1036 0 1 0
405 1036 0 1 0
409 350 3 0 0
412 350 2 0 0
414 350 3 0 0
415 350 2 0 0
418 350 3 0 0
429 1036 0 1 0
436 861 3 0 0
440 876 2 0 0
441 350 2 0 0
443 289 0 0 0
447 289 1 0 0
448 1036 0 1 0
449 350 2 0 0
451 1036 0 1 0
458 433 3 0 0
462 861 3 0 0
463 433 3 0 0
464 1036 0 1 0
467 1036 0 1 0
471 1036 0 1 0
477 1036 0 1 0
478 433 3 0 0
481 1036 0 1 0
491 1036 0 1 0
494 1036 0 1 0
495 1036 0 1 0
497 1036 0 1 0
498 1036 0 1 0
499 1036 0 1 0
500 1036 0 1 0
501 861 3 0 0
504 861 3 0 0
505 1036 0 1 0
506 1036 0 1 0
510 1036 0 1 0
511 1036 0 1 0
521 433 4 0 0
528 876 2 0 0
536 1036 0 1 0
538 1036 0 1 0
539 876 1 0 0
541 876 2 0 0
544 433 2 0 0
545 876 2 0 0
558 404 5 0 0
563 566 4 0 0
565 876 1 0 0
572 861 3 0 0
576 350 3 0 0
578 861 3 0 0
580 861 2 0 0
581 198 5 0 0
591 283 3 0 0
592 404 5 0 0
597 861 3 0 0
603 350 3 0 0
605 1036 0 1 0
608 861 2 0 0
611 861 3 0 0
618 433 3 0 0
619 350 3 0 0
625 876 1 0 0
626 1036 0 1 0
629 876 2 0 0
637 198 4 0 0
638 1036 0 1 0
639 566 3 0 0
640 557 1 0 0
641 876 1 0 0
643 433 2 0 0
644 198 5 0 0
647 557 2 0 0
648 557 2 0 0
650 861 3 0 0
657 1036 0 1 0
659 433 2 0 0
663 404 5 0 0
664 350 2 0 0
666 876 2 0 0
667 876 1 0 0
671 876 1 0 0
672 876 3 0 0
673 876 3 0 0
675 198 6 0 0
676 1036 0 1 0
678 876 1 0 0
690 350 2 0 0
692 350 3 0 0
694 404 5 0 0
697 350 3 0 0
698 566 2 0 0
704 876 2 0 0
711 350 2 0 0
712 566 4 0 0
716 1036 0 1 0
720 350 3 0 0
721 198 6 0 0
722 1036 0 1 0
723 350 6 0 0
725 1036 0 1 0
726 1036 0 1 0
727 350 3 0 0
728 350 2 0 0
735 1036 0 1 0
737 1036 0 1 0
739 1036 0 1 0
741 1036 0 1 0
744 1036 0 1 0
745 350 5 0 0
746 350 2 0 0
747 1036 0 1 0
750 876 3 0 0
753 350 5 0 0
755 350 3 0 0
756 350 4 0 0
759 1036 0 1 0
760 1036 0 1 0
761 1036 0 1 0
762 1036 0 1 0
765 1036 0 1 0
766 1036 0 1 0
768 1036 0 1 0
770 350 4 0 0
771 350 2 0 0
772 1036 0 1 0
774 350 4 0 0
775 1036 0 1 0
776 350 3 0 0
778 350 2 0 0
779 350 5 0 0
780 566 2 0 0
781 198 5 0 0
782 716 1 0 0
793 350 3 0 0
794 1036 0 1 0
795 1036 0 1 0
797 1036 0 1 0
798 350 3 0 0
802 1036 0 1 0
803 1036 0 1 0
805 289 1 0 0
811 1036 0 1 0
815 1036 0 1 0
816 1036 0 1 0
818 557 3 0 0
822 1036 0 1 0
824 1036 0 1 0
825 1036 0 1 0
826 1036 0 1 0
827 1036 0 1 0
831 350 2 0 0
834 350 4 0 0
835 350 3 0 0
836 350 3 0 0
842 1036 0 1 0
843 350 4 0 0
844 1036 0 1 0
846 1036 0 1 0
847 350 4 0 0
848 350 4 0 0
869 350 3 0 0
870 350 4 0 0
871 350 3 0 0
873 350 3 0 0
877 350 4 0 0
878 566 2 0 0
884 1036 0 1 0
888 1036 0 1 0
889 1036 0 1 0
890 861 3 0 0
891 566 3 0 0
892 1036 0 1 0
894 433 5 0 0
895 1036 0 1 0
897 350 2 0 0
898 350 3 0 0
899 350 2 0 0
900 1036 0 1 0
901 350 2 0 0
903 566 4 0 0
907 404 5 0 0
910 198 6 0 0
911 350 2 0 0
917 350 2 0 0
919 433 4 0 0
922 198 5 0 0
924 198 5 0 0
925 433 3 0 0
929 198 5 0 0
930 566 1 0 0
931 861 3 0 0
932 566 2 0 0
933 289 2 0 0
934 566 5 0 0
943 876 2 0 0
944 566 3 0 0
946 289 1 0 0
952 566 4 0 0
956 566 2 0 0
960 566 2 0 0
961 350 2 0 0
962 433 3 0 0
963 350 2 0 0
964 350 2 0 0
973 350 2 0 0
978 566 4 0 0
980 433 3 0 0
983 350 2 0 0
984 566 3 0 0
998 350 2 0 0
999 50 3 0 0
1009 566 2 0 0
1010 143 2 0 0
1012 198 5 0 0
1014 350 4 0 0
1022 350 4 0 0
1029 433 3 0 0
1031 1036 0 1 0
1036 566 2 0 0
1038 1036 0 1 0
1040 198 5 0 0
1041 350 3 0 0
1050 143 2 0 0
1052 350 1 0 0
1054 350 1 0 0
1055 350 2 0 0
1056 143 2 0 0
1057 143 2 0 0
1058 350 1 0 0
1068 716 0 0 0
1069 350 4 0 0
1071 350 4 0 0
1073 350 4 0 0
1077 876 3 0 0
1082 687 3 0 0
1095 50 4 0 0
1098 350 4 0 0
1099 598 2 0 0
1102 1036 0 1 0
1103 1036 0 1 0
1106 1036 0 1 0
1109 598 3 0 0
1110 1036 0 1 0
1112 687 8 0 0
1113 557 2 0 0
1114 1036 0 1 0
1115 687 8 0 0
1116 1036 0 1 0
1117 566 2 0 0
1119 687 6 0 0
1120 687 7 0 0
1129 687 6 0 0
1130 350 7 0 0
1131 350 5 0 0
1132 566 1 0 0
1134 1036 0 1 0
1136 350 7 0 0
1138 350 5 0 0
1139 1036 0 1 0
1147 1036 0 1 0
1148 1036 0 1 0
1149 1036 0 1 0
1150 1036 0 1 0
1152 1036 0 1 0
1153 687 6 0 0
1157 1036 0 1 0
1158 1036 0 1 0
1162 1036 0 1 0
1165 1036 0 1 0
1170 350 8 0 0
1173 687 8 0 0
1178 350 5 0 0
1180 687 8 0 0
1181 350 6 0 0
1182 1036 0 1 0
1184 1036 0 1 0
1185 566 2 0 0
1189 1036 0 1 0
1191 1036 0 1 0
1194 687 7 0 0
1195 350 5 0 0
1202 350 7 0 0
1203 1036 0 1 0
1204 1036 0 1 0
1208 876 4 0 0
1209 350 5 0 0
1210 566 2 0 0
1212 566 2 0 0
1213 198 6 0 0
1215 1036 0 1 0
1216 566 2 0 0
1232 1036 0 1 0
1233 1036 0 1 0
1235 350 6 0 0
1237 350 6 0 0
1238 1036 0 1 0
1254 1036 0 1 0
1257 350 6 0 0
1260 1036 0 1 0
1261 1036 0 1 0
1262 350 4 0 0
1263 198 5 0 0
1272 687 6 0 0
1274 350 3 0 0
1277 50 4 0 0
1287 1036 0 1 0
1289 687 6 0 0
1297 350 2 0 0
1299 350 4 0 0
1300 687 7 0 0
1301 566 1 0 0
1303 350 3 0 0
1310 350 1 0 0
1319 687 3 0 0
1321 687 3 0 0
1331 350 4 0 0
1345 792 2 0 0
1359 566 2 0 0
1361 566 1 0 0
1376 687 5 0 0
1377 350 5 0 0
1383 687 3 0 0
1384 687 2 0 0
1385 687 3 0 0
1387 687 6 0 0
1388 687 3 0 0
1389 687 3 0 0
1390 350 4 0 0
1402 350 4 0 0
1403 687 6 0 0
1408 350 4 0 0
1410 687 3 0 0
1412 350 4 0 0
1413 22 6 0 0
1419 350 4 0 0
1427 1036 0 1 0
1434 1036 0 1 0
1435 1036 0 1 0
1436 350 6 0 0
1437 1036 0 1 0
1444 687 6 0 0
1452 1036 0 1 0
1457 1036 0 1 0
1458 1036 0 1 0
1459 687 5 0 0
1460 22 4 0 0
1462 1036 0 1 0
1464 687 3 0 0
1480 350 4 0 0
1481 687 5 0 0
1482 350 3 0 0
1484 1036 0 1 0
1486 1036 0 1 0
1491 1036 0 1 0
1523 1036 0 1 0
1524 1036 0 1 0
1525 1036 0 1 0
1526 1036 0 1 0
1527 566 1 0 0
1529 687 5 0 0
1530 1036 0 1 0
1531 598 3 0 0
1538 1036 0 1 0
1546 1036 0 1 0
1547 598 4 0 0
1548 598 3 0 0
1550 566 2 0 0
1551 1036 0 1 0
1552 1036 0 1 0
1553 350 6 0 0
1558 1036 0 1 0
1562 1036 0 1 0
1564 1036 0 1 0
1565 1036 0 1 0
1569 1036 0 1 0
1573 350 7 0 0
1585 1036 0 1 0
1591 1036 0 1 0
1592 687 6 0 0
1595 557 3 0 0
1605 687 7 0 0
1612 687 3 0 0
1614 687 3 0 0
1615 687 6 0 0
1616 350 5 0 0
1618 687 3 0 0
1621 350 5 0 0
1623 350 5 0 0
1624 350 6 0 0
1625 687 5 0 0
1626 687 6 0 0
1627 22 6 0 0
1628 22 6 0 0
1633 687 5 0 0
1634 687 5 0 0
1637 566 1 0 0
1640 350 6 0 0
1642 350 7 0 0
1643 22 6 0 0
1646 22 6 0 0
1648 22 5 0 0
1650 22 5 0 0
1652 350 5 0 0
1653 1036 0 1 0
1655 687 5 0 0
1657 687 4 0 0
1660 350 4 0 0
1661 350 6 0 0
1681 350 4 0 0
1685 350 2 0 0
1688 687 2 0 0
1690 444 2 0 0
1692 687 2 0 0
1701 598 3 0 0
1702 716 1 0 0
1703 350 5 0 0
1706 22 3 0 0
1707 350 5 0 0
1709 687 4 0 0
1710 350 2 0 0
1713 716 1 0 0
1715 687 3 0 0
1717 566 2 0 0
1724 566 1 0 0
1725 687 4 0 0
1726 22 4 0 0
1728 716 2 0 0
1731 687 3 0 0
1739 350 2 0 0
1740 143 2 0 0
1742 350 2 0 0
1744 1036 0 1 0
1745 1036 0 1 0
1747 1036 0 1 0
1750 1036 0 1 0
1753 1036 0 1 0
1754 1036 0 1 0
1756 1036 0 1 0
1757 1036 0 1 0
1758 22 5 0 0
1759 1036 0 1 0
1760 566 3 0 0
1762 143 3 0 0
1763 1036 0 1 0
1764 598 2 0 0
1769 1036 0 1 0
1771 1036 0 1 0
1772 22 7 0 0
1779 1036 0 1 0
1780 1036 0 1 0
1782 1036 0 1 0
1785 566 4 0 0
1786 22 5 0 0
1791 1036 0 1 0
1797 1036 0 1 0
1799 22 4 0 0
1800 22 5 0 0
1804 22 4 0 0
1805 22 5 0 0
1808 22 5 0 0
1809 1036 0 1 0
1813 1036 0 1 0
1817 1036 0 1 0
1819 1036 0 1 0
1820 1036 0 1 0
1826 1036 0 1 0
1827 1036 0 1 0
1828 22 4 0 0
1831 1036 0 1 0
1832 1036 0 1 0
1835 1036 0 1 0
1838 566 2 0 0
1842 716 5 0 0
1852 22 5 0 0
1853 1036 0 1 0
1855 22 4 0 0
1856 1036 0 1 0
1860 716 5 0 0
1864 1036 0 1 0
1867 1036 0 1 0
1872 1036 0 1 0
1873 566 3 0 0
1874 687 4 0 0
1876 830 3 0 0
1877 566 2 0 0
1879 687 5 0 0
1882 22 5 0 0
1888 1036 0 1 0
1892 1036 0 1 0
1895 1036 0 1 0
1897 350 3 0 0
1898 1036 0 1 0
1899 830 3 0 0
1900 1036 0 1 0
1902 1036 0 1 0
1904 830 4 0 0
1905 350 6 0 0
1906 830 3 0 0
1908 830 3 0 0
1911 22 5 0 0
1925 350 3 0 0
1931 1036 0 1 0
1935 350 2 0 0
1939 22 5 0 0
1942 598 3 0 0
1945 716 2 0 0
1946 687 2 0 0
1947 22 4 0 0
1950 687 5 0 0
1956 1036 0 1 0
1964 578 0 0 0
1966 350 5 0 0
1971 22 4 0 0
1973 350 5 0 0
1974 22 5 0 0
1975 1036 0 1 0
1983 1036 0 1 0
1985 22 4 0 0
1991 598 3 0 0
1999 1036 0 1 0
2003 716 3 0 0
2006 557 1 0 0
2007 22 6 0 0
2012 687 3 0 0
2015 22 4 0 0
2024 830 2 0 0
2027 830 2 0 0
2029 566 2 0 0
2038 716 4 0 0
2043 566 2 0 0
2044 22 4 0 0
2046 687 3 0 0
2066 557 1 0 0
2068 566 1 0 0
2070 22 4 0 0
2072 1036 0 1 0
2075 1036 0 1 0
2077 937 1 0 0
2078 937 0 0 0
2087 716 3 0 0
2088 22 5 0 0
2091 22 4 0 0
2094 566 3 0 0
2095 1036 0 1 0
2098 22 5 0 0
2099 696 2 0 0
2106 696 2 0 0
2108 937 2 0 0
2112 1036 0 1 0
2113 1036 0 1 0
2114 1036 0 1 0
2115 1036 0 1 0
2117 1036 0 1 0
2119 1036 0 1 0
2122 1036 0 1 0
2125 1036 0 1 0
2126 1036 0 1 0
2129 22 4 0 0
2132 696 1 0 0
2135 1036 0 1 0
2136 1036 0 1 0
2137 1036 0 1 0
2138 1036 0 1 0
2142 851 1 0 0
2143 851 3 0 0
2144 851 3 0 0
2145 1036 0 1 0
2146 851 3 0 0
2149 1036 0 1 0
2152 696 1 0 0
2154 851 3 0 0
2155 1036 0 1 0
2163 1036 0 1 0
2164 1036 0 1 0
2165 1036 0 1 0
2166 22 4 0 0
2167 1036 0 1 0
2169 1036 0 1 0
2172 1036 0 1 0
2173 22 5 0 0
2174 851 4 0 0
2176 1036 0 1 0
2177 1036 0 1 0
2178 22 6 0 0
2180 22 6 0 0
2181 1036 0 1 0
2182 696 2 0 0
2184 22 6 0 0
2185 22 5 0 0
2186 22 6 0 0
2187 22 6 0 0
2190 1036 0 1 0
2195 1036 0 1 0
2197 716 5 0 0
2198 851 2 0 0
2200 1036 0 1 0
2201 22 4 0 0
2204 1036 0 1 0
2205 1036 0 1 0
2206 1036 0 1 0
2207 1036 0 1 0
2217 1036 0 1 0
2220 1036 0 1 0
2221 937 2 0 0
2222 937 1 0 0
2224 22 4 0 0
2225 1036 0 1 0
2230 1036 0 1 0
2232 1036 0 1 0
2234 1036 0 1 0
2235 22 5 0 0
2239 851 1 0 0
2240 1036 0 1 0
2241 1036 0 1 0
2242 1036 0 1 0
2243 1036 0 1 0
2246 566 2 0 0
2247 566 2 0 0
2248 22 6 0 0
2249 1036 0 1 0
2252 716 5 0 0
2253 22 5 0 0
2256 576 3 0 0
2257 576 2 0 0
2258 22 4 0 0
2273 1036 0 1 0
2274 22 5 0 0
2279 598 2 0 0
2281 687 3 0 0
2284 598 2 0 0
2285 22 5 0 0
2287 716 4 0 0
2288 557 2 0 0
2291 937 1 0 0
2292 937 1 0 0
2294 566 2 0 0
2299 851 1 0 0
2300 851 1 0 0
2302 696 2 0 0
2304 830 1 0 0
2305 830 2 0 0
2308 1036 0 1 0
2310 851 2 0 0
2311 716 5 0 0
2315 444 3 0 0
2319 851 1 0 0
2324 851 1 0 0
2327 851 1 0 0
2328 851 1 0 0
2331 696 4 0 0
2332 851 1 0 0
2334 22 4 0 0
2337 22 4 0 0
2338 22 4 0 0
2340 851 1 0 0
2341 22 4 0 0
2349 716 5 0 0
2350 22 4 0 0
2351 716 5 0 0
2353 22 5 0 0
2354 22 4 0 0
2362 851 2 0 0
2365 716 5 0 0
2374 851 1 0 0
2376 22 4 0 0
2378 576 5 0 0
2379 851 1 0 0
2380 576 6 0 0
2383 22 3 0 0
2388 851 2 0 0
2390 696 1 0 0
2397 851 3 0 0
2399 22 4 0 0
2400 576 6 0 0
2401 696 3 0 0
2402 696 3 0 0
2403 22 4 0 0
2404 22 4 0 0
2410 851 2 0 0
2412 851 1 0 0
2419 851 4 0 0
2420 851 0 0 0
2422 616 1 0 0
2423 851 5 0 0
2426 576 5 0 0
2427 576 3 0 0
2431 444 2 0 0
2440 22 3 0 0
2443 22 4 0 0
2444 696 1 0 0
2445 1036 0 1 0
2449 1036 0 1 0
2452 1036 0 1 0
2453 1036 0 1 0
2455 851 5 0 0
2458 851 4 0 0
2459 1036 0 1 0
2468 143 3 0 0
2469 143 3 0 0
2470 1036 0 1 0
2473 1036 0 1 0
2475 143 3 0 0
2477 143 3 0 0
2484 1036 0 1 0
2485 1036 0 1 0
2488 1036 0 1 0
2490 1036 0 1 0
2493 143 2 0 0
2494 22 4 0 0
2505 1036 0 1 0
2511 1036 0 1 0
2516 1036 0 1 0
2518 22 4 0 0
2521 1036 0 1 0
2522 696 1 0 0
2526 22 4 0 0
2527 143 2 0 0
2532 1036 0 1 0
2534 1036 0 1 0
2536 1036 0 1 0
2540 1036 0 1 0
2542 1036 0 1 0
2547 696 2 0 0
2549 22 4 0 0
2550 22 4 0 0
2551 22 3 0 0
2552 1036 0 1 0
2553 22 4 0 0
2554 851 2 0 0
2557 1036 0 1 0
2558 1036 0 1 0
2560 1036 0 1 0
2561 1036 0 1 0
2564 1036 0 1 0
2572 1036 0 1 0
2574 22 4 0 0
2575 22 4 0 0
2576 1036 0 1 0
2578 1036 0 1 0
2581 1036 0 1 0
2583 1036 0 1 0
2585 22 4 0 0
2588 1036 0 1 0
2590 350 2 0 0
2591 350 2 0 0
2593 576 3 0 0
2597 851 4 0 0
2599 851 2 0 0
2602 22 3 0 0
2608 851 3 0 0
2622 696 3 0 0
2625 696 2 0 0
2626 576 4 0 0
2628 851 1 0 0
2631 22 3 0 0
2632 22 3 0 0
2644 696 0 0 0
2650 22 4 0 0
2651 22 3 0 0
2652 22 3 0 0
2653 851 1 0 0
2654 576 3 0 0
2655 696 1 0 0
2656 851 2 0 0
2657 22 3 0 0
2661 616 2 0 0
2664 1036 0 1 0
2671 851 3 0 0
2672 851 3 0 0
2674 851 3 0 0
2675 696 2 0 0
2679 851 2 0 0
2682 830 2 0 0
2684 1036 0 1 0
2686 696 2 0 0
2692 851 2 0 0
2693 851 3 0 0
2696 830 1 0 0
2697 22 4 0 0
2700 22 5 0 0
2705 1036 0 1 0
2706 815 2 0 0
2710 616 3 0 0
2715 576 3 0 0
2717 1036 0 1 0
2720 22 5 0 0
2722 1036 0 1 0
2723 652 3 0 0
2724 696 1 0 0
2727 830 2 0 0
2729 616 2 0 0
2730 851 3 0 0
2736 143 2 0 0
2738 576 2 0 0
2739 1036 0 1 0
2740 815 2 0 0
2742 1036 0 1 0
2744 22 4 0 0
2745 22 5 0 0
2746 1036 0 1 0
2747 22 5 0 0
2749 22 4 0 0
2750 143 3 0 0
2752 22 4 0 0
2753 851 3 0 0
2755 1036 0 1 0
2758 1036 0 1 0
2764 1036 0 1 0
2769 1036 0 1 0
2772 1036 0 1 0
2773 1036 0 1 0
2774 1036 0 1 0
2778 616 1 0 0
2785 1036 0 1 0
2793 1036 0 1 0
2794 1036 0 1 0
2797 616 1 0 0
2798 222 4 0 0
2804 1036 0 1 0
2807 1036 0 1 0
2808 1036 0 1 0
2809 370 7 0 0
2811 1036 0 1 0
2821 22 5 0 0
2822 370 7 0 0
2827 1036 0 1 0
2828 1036 0 1 0
2831 1036 0 1 0
2835 815 2 0 0
2837 370 8 0 0
2840 1036 0 1 0
2846 410 5 0 0
2849 410 4 0 0
2851 907 1 0 0
2852 607 4 0 0
2853 1036 0 1 0
2854 410 5 0 0
2857 1036 0 1 0
2861 22 3 0 0
2866 1036 0 1 0
2870 22 6 0 0
2871 370 8 0 0
2874 370 8 0 0
2875 1036 0 1 0
2878 370 8 0 0
2879 1036 0 1 0
2882 1036 0 1 0
2883 222 5 0 0
2884 410 5 0 0
2887 22 4 0 0
2889 1036 0 1 0
2895 1036 0 1 0
2896 1036 0 1 0
2897 1036 0 1 0
2901 370 9 0 0
2903 1036 0 1 0
2904 1036 0 1 0
2906 1036 0 1 0
2907 1036 0 1 0
2908 1036 0 1 0
2910 1036 0 1 0
2914 1036 0 1 0
2915 1036 0 1 0
2916 1036 0 1 0
2918 1036 0 1 0
2919 370 8 0 0
2920 1036 0 1 0
2921 1036 0 1 0
2922 1036 0 1 0
2924 1036 0 1 0
2925 851 4 0 0
2926 1036 0 1 0
2929 851 3 0 0
2931 22 4 0 0
2932 370 8 0 0
2936 370 8 0 0
2938 370 9 0 0
2940 1036 0 1 0
2941 1036 0 1 0
2951 851 4 0 0
2952 851 4 0 0
2953 1036 0 1 0
2954 1036 0 1 0
2956 1036 0 1 0
2966 696 2 0 0
2967 907 1 0 0
2968 22 3 0 0
2970 696 1 0 0
2971 22 5 0 0
2977 696 2 0 0
2987 143 3 0 0
2988 501 2 0 0
2990 830 2 0 0
2993 696 2 0 0
2994 143 4 0 0
2995 143 3 0 0
3002 815 3 0 0
3007 815 1 0 0
3008 815 2 0 0
3009 1036 0 1 0
3012 22 5 0 0
3013 370 7 0 0
3017 815 3 0 0
3018 851 2 0 0
3019 830 2 0 0
3020 143 4 0 0
3022 370 8 0 0
3024 143 3 0 0
3025 222 4 0 0
3030 410 4 0 0
3032 815 3 0 0
3033 696 2 0 0
3036 815 3 0 0
3037 830 2 0 0
3039 1036 0 1 0
3043 143 4 0 0
3046 370 6 0 0
3049 410 4 0 0
3050 652 4 0 0
3055 1036 0 1 0
3056 22 4 0 0
3058 1036 0 1 0
3060 1036 0 1 0
3065 652 3 0 0
3068 616 0 0 0
3069 370 6 0 0
3073 745 2 0 0
3077 22 3 0 0
3079 815 4 0 0
3081 815 2 0 0
3083 830 2 0 0
3085 815 3 0 0
3086 652 4 0 0
3088 143 4 0 0
3089 815 3 0 0
3090 851 2 0 0
3091 22 4 0 0
3093 370 6 0 0
3099 607 4 0 0
3104 370 6 0 0
3111 745 1 0 0
3116 370 6 0 0
3117 830 2 0 0
3118 607 3 0 0
3121 607 2 0 0
3125 607 2 0 0
3129 410 4 0 0
3130 745 1 0 0
3134 836 2 0 0
3135 745 1 0 0
3137 836 2 0 0
3139 836 2 0 0
3142 222 5 0 0
3143 1036 0 1 0
3146 1036 0 1 0
3148 1036 0 1 0
3149 1036 0 1 0
3156 607 2 0 0
3158 836 3 0 0
3160 607 3 0 0
3161 1036 0 1 0
3162 836 2 0 0
3171 1036 0 1 0
3175 1036 0 1 0
3178 444 3 0 0
3179 136 3 0 0
3180 607 3 0 0
3181 444 5 0 0
3182 370 8 0 0
3187 1036 0 1 0
3190 1036 0 1 0
3191 1036 0 1 0
3192 1036 0 1 0
3193 1036 0 1 0
3194 1036 0 1 0
3195 815 4 0 0
3200 136 4 0 0
3204 1036 0 1 0
3208 1036 0 1 0
3213 1036 0 1 0
3214 815 4 0 0
3216 222 3 0 0
3220 444 3 0 0
3221 745 1 0 0
3229 1036 0 1 0
3230 136 4 0 0
3233 1036 0 1 0
3234 745 2 0 0
3235 1036 0 1 0
3241 1036 0 1 0
3247 1036 0 1 0
3257 1036 0 1 0
3258 815 3 0 0
3260 1036 0 1 0
3270 1036 0 1 0
3272 1036 0 1 0
3275 1036 0 1 0
3276 1036 0 1 0
3278 143 5 0 0
3279 22 4 0 0
3281 815 3 0 0
3282 222 3 0 0
3297 815 2 0 0
3300 22 5 0 0
3305 1036 0 1 0
3308 410 5 0 0
3312 907 1 0 0
3317 830 2 0 0
3320 907 1 0 0
3324 143 4 0 0
3326 652 3 0 0
3335 370 5 0 0
3337 815 3 0 0
3345 830 2 0 0
3354 607 2 0 0
3355 745 2 0 0
3358 222 4 0 0
3367 1036 0 1 0
3374 136 5 0 0
3376 830 2 0 0
3377 745 1 0 0
3383 745 2 0 0
3390 1036 0 1 0
3391 652 4 0 0
3393 745 1 0 0
3394 652 3 0 0
3396 136 3 0 0
3398 830 3 0 0
3403 815 3 0 0
3404 607 2 0 0
3409 830 2 0 0
3414 370 8 0 0
3415 370 8 0 0
3417 1036 0 1 0
3426 136 3 0 0
3427 22 4 0 0
3428 815 4 0 0
3429 745 1 0 0
3430 815 3 0 0
3431 815 1 0 0
3432 815 3 0 0
3434 815 2 0 0
3436 745 1 0 0
3437 815 3 0 0
3438 410 3 0 0
3441 410 3 0 0
3442 410 3 0 0
3443 607 2 0 0
3444 370 7 0 0
3446 370 8 0 0
3447 607 2 0 0
3449 607 2 0 0
3450 1036 0 1 0
3451 745 1 0 0
3452 410 3 0 0
3454 410 4 0 0
3455 815 5 0 0
3456 410 1 0 0
3457 815 4 0 0
3458 444 2 0 0
3459 815 4 0 0
3460 410 3 0 0
3464 370 8 0 0
3466 410 2 0 0
3468 22 4 0 0
3469 444 4 0 0
3470 607 2 0 0
3471 607 2 0 0
3472 410 3 0 0
3473 410 3 0 0
3474 410 3 0 0
3475 410 2 0 0
3476 607 2 0 0
3478 607 1 0 0
3479 410 1 0 0
3481 410 3 0 0
3483 410 3 0 0
3485 501 1 0 0
3486 607 1 0 0
3494 444 3 0 0
3495 22 4 0 0
3496 410 2 0 0
3500 1036 0 1 0
3501 1036 0 1 0
3503 1036 0 1 0
3504 836 1 0 0
3507 1036 0 1 0
3511 410 2 0 0
3513 1036 0 1 0
3519 222 3 0 0
3520 1036 0 1 0
3524 1036 0 1 0
3525 1036 0 1 0
3528 1036 0 1 0
3530 410 4 0 0
3531 410 2 0 0
3533 619 1 0 0
3539 136 3 0 0
3541 410 2 0 0
3544 1036 0 1 0
3545 1036 0 1 0
3548 1036 0 1 0
3550 745 3 0 0
3552 745 4 0 0
3554 1036 0 1 0
3556 410 4 0 0
3558 136 3 0 0
3559 410 3 0 0
3560 410 2 0 0
3561 410 3 0 0
3569 1036 0 1 0
3570 1036 0 1 0
3571 410 2 0 0
3573 410 3 0 0
3574 136 4 0 0
3575 1036 0 1 0
3579 1036 0 1 0
3581 1036 0 1 0
3582 1036 0 1 0
3589 410 2 0 0
3590 745 3 0 0
3591 410 3 0 0
3595 1036 0 1 0
3601 136 4 0 0
3611 1036 0 1 0
3612 410 3 0 0
3613 1036 0 1 0
3614 1036 0 1 0
3616 1036 0 1 0
3620 1036 0 1 0
3621 136 4 0 0
3623 136 4 0 0
3625 1036 0 1 0
3627 607 2 0 0
3629 136 3 0 0
3635 1036 0 1 0
3636 1036 0 1 0
3641 1036 0 1 0
3643 1036 0 1 0
3645 745 2 0 0
3648 136 4 0 0
3649 745 2 0 0
3652 1036 0 1 0
3654 1036 0 1 0
3660 1036 0 1 0
3662 1036 0 1 0
3665 22 4 0 0
